MJD,PLATE,FIBERID,z,VDISP,VDISP_ERR,mag_u,mag_g,mag_r,mag_i,mag_z,flux_u,flux_g,flux_r,flux_i,flux_z,flux_y,flux_w1,o21,o21_err,o22,o22_err,hb,hb_err,o3,o3_err,o1,o1_err,ha,ha_err,n2,n2_err,s21,s21_err,s22,s22_err,sigma_o3,sigma_o3_err,sigma_hb,sigma_hb_err 
56396,6689,539,0.6015071,256.35965,39.353516,23.635736,21.97991,20.201412,19.004505,18.53486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.391615,2.671308,-2.940998,2.5895927,0.044190608,1.3996993,2.4221003,1.7528925,4.8578477,6.718793,0.0,-2.0,0.0,-2.0,0.0,-1.0,0.0,-1.0,135.58954,36.006615,105.137825,51.638893
56396,6689,540,0.76895565,850.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6724561,0.90604913,-1.8876156,0.94855183,0.0,-2.0,-1.0211992,0.938295,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,94.77033,37.078876,4.2285132,0.1435423
56396,6689,541,0.5467803,183.46452,32.78303,24.127377,21.832474,20.22704,19.194218,18.794165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2576098,1.7068232,1.1525918,1.8608286,-0.6852503,1.3355622,1.2087351,1.3824754,10.160728,3.9906077,-20.914309,9.104621,9.596324,10.995404,0.0,-2.0,0.0,-2.0,137.17001,34.916107,134.5067,41.483055
56396,6689,543,0.5294782,183.3621,35.86011,25.021446,21.96554,20.405064,19.434963,18.967916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.539796,2.6584737,2.428426,2.5578854,-2.05774,1.8413656,4.710646,1.7549528,0.80022585,2.649783,12.161837,7.3497834,3.957894,7.6062584,-18.568823,15.828414,49.39886,23.898325,191.19928,45.57382,248.41782,69.744194
56396,6689,545,0.5277143,225.96153,86.61311,22.100405,21.76185,20.154173,19.364855,18.815075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.561793,3.234138,9.927325,2.9513652,3.4944847,1.582031,5.2267084,1.6279867,1.2157143,3.4804792,22.864096,8.570207,31.767794,6.6077604,-1.7730517,11.416852,-10.075927,15.487803,186.08284,28.176987,258.01572,63.647076
56396,6689,548,0.43838942,178.10446,30.36075,26.325178,21.324844,19.615599,18.884022,18.411043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.163197,200.91463,-3.5720594,198.00089,-10.111637,2.0656517,0.97474617,3.5438015,-10.184014,24.740294,-10.889754,6.4147925,11.180602,13.130503,-33.06125,33.300503,29.445627,33.952915,1455.8708,537.26733,358.36887,60.663803
56396,6689,563,0.6835981,237.99413,54.15955,26.99988,22.5727,20.698053,19.432795,18.913485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.728604,22.39148,-14.695368,23.013075,-5.0557647,3.0940545,-4.3368554,3.5783112,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,661.98206,297.38904,506.82156,179.08717
56396,6689,564,0.43459204,158.96904,87.943954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0902635,0.81984085,-0.108626805,0.82677597,-3.634119,1.8413928,-2.9834983,0.7736442,0.544806,1.2597327,1.1170137,3.105051,4.364078,3.9238412,-0.61069447,1.3459047,-1.1725727,1.6057701,80.35162,18.520046,317.8019,141.14781
56396,6689,567,0.5239904,164.73976,38.16019,24.923723,21.18965,20.109488,19.317484,18.933327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6924004,2.5485404,2.2122047,2.8568897,3.6912746,1.2184867,2.0667512,2.099679,-3.4179301,2.6412163,21.169115,5.1357465,14.3256035,6.358676,8.692146,12.109546,9.1516485,11.653866,201.08163,55.085854,145.46507,33.561626
56396,6689,571,0.5728111,234.40358,62.469505,26.369196,22.583353,21.1647,20.127228,19.891737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5986818,4.893442,11.924701,5.292437,1.0571448,3.0871303,1.5170684,2.1060987,1.0369756,4.439452,-16.611698,36.899185,-26.681236,47.737995,0.0,-2.0,0.0,-1.0,210.20705,49.4781,536.4575,168.32759
56396,6689,573,0.46601418,222.07864,28.916975,23.612694,21.340395,19.627272,18.76091,18.284052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.898356,3.1116312,-1.4704587,2.6646411,-9.159999,2.066537,0.30201647,1.889396,3.1536303,1.9745846,2.5331924,4.2717924,5.8011184,3.1717923,3.294508,4.470523,-6.907428,5.3955107,181.54048,41.174175,287.85562,66.91051
56396,6689,577,0.46788797,201.10936,37.39175,23.081,22.539675,20.479977,19.558279,19.19089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.98111,3.790714,-1.6937761,3.635601,3.2031558,2.3885014,2.5793993,1.6535206,-1.6378407,2.187255,3.1233394,5.509025,5.7776313,4.466506,2.6709418,3.7742124,-0.6063551,4.945923,253.25458,47.65555,525.7869,275.2142
56396,6689,579,0.46687964,122.691925,47.528828,24.753359,23.619646,21.875587,20.63851,20.01136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1211696,2.342323,4.379774,2.157397,3.9795136,1.5231636,20.695152,2.024153,1.3846283,1.6664566,47.11918,4.458897,41.946663,3.5917664,5.5444374,3.8042028,4.834461,5.9669485,192.93167,14.230839,239.80103,24.084846
56396,6689,581,0.70043135,351.21054,103.82171,27.118887,21.974049,20.2129,18.986965,18.431429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2996067,1.0447168,-0.69808346,0.99729955,1.3420279,1.5580026,1.4528927,1.1155761,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,82.8718,24.85419,222.19066,99.71368
56396,6689,583,0.44244424,161.27565,35.05915,23.940842,22.26813,20.86035,20.027328,19.6174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4777603,5.6902895,-2.1504614,5.560959,3.319752,1.8897588,2.4956958,1.9058917,0.8377253,3.310782,-17.986137,7.2376895,8.656542,5.341161,-3.2420714,6.6030045,-1.7397186,6.2369823,420.32498,105.266624,370.67377,124.39111
56396,6689,585,0.49308962,167.2107,30.355286,22.917488,22.011269,20.408438,19.53202,19.070972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.813688,1.3532051,-58.54757,110.93952,1.370779,0.8284472,-0.9317271,1.2235411,-1.0248208,1.2907857,2.3950698,2.0814438,-1.2165368,1.5841908,3.311755,3.0423172,-2.505688,3.6395862,72.744415,22.766277,65.89099,29.22224
56396,6689,587,0.58267295,119.80216,28.062618,24.048496,21.824184,20.412884,19.534117,18.949259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.781944,10.281788,-7.3590565,8.893468,-0.69572276,1.5581487,5.1752605,3.0339344,-2.3776367,10.477263,0.0,-2.0,0.0,-2.0,0.0,-1.0,0.0,-1.0,371.4567,65.913155,266.472,46.318794
56396,6689,589,0.43624339,184.64745,64.141266,24.887577,21.422451,19.884792,19.08309,18.589174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9623752,0.64867604,-0.15017542,0.6750447,2.9786286,1.5488721,-0.5672265,0.6249867,-0.7157069,1.7357725,1.598855,3.29271,-2.606383,3.078964,-0.96794224,1.132084,3.5339372,2.2995343,52.974815,13.761568,252.24777,90.05343
56396,6689,591,0.5297438,232.40097,59.649193,25.807386,22.245415,20.726816,19.801668,19.428976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8613372,1.7743186,1.3699974,1.5406055,5.4510717,1.5183944,0.4569237,1.1295906,-0.9666472,1.8347747,7.3693724,5.026689,4.183445,6.26987,4.872972,11.547762,-15.402953,18.013166,129.41635,40.95382,166.25354,44.8444
56396,6689,592,0.43626678,279.9235,57.735027,23.328156,21.609545,19.346386,18.640055,18.287838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5796962,2.3792143,5.047727,2.49756,1.6368098,1.2371006,1.3059202,1.3360339,0.94866204,2.2792075,9.867457,3.39538,6.9205923,3.6839309,0.91890264,2.8051512,-1.1398827,3.6880279,203.0223,45.73466,134.69388,32.806614
56396,6689,593,0.5796041,298.6642,59.127605,22.800896,22.39677,20.78007,19.63702,19.073215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.10052,50.7177,-4.4073777,4.33757,-1.4127012,0.83468616,-0.6487457,1.4585475,-3.6418855,6.4586234,0.0,-2.0,0.0,-2.0,0.0,-1.0,0.0,-1.0,114.97493,24.31641,70.86963,21.790066
56396,6689,595,0.5799281,131.93814,34.98783,22.232403,21.73139,20.469336,19.66089,19.38445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.38622135,0.97786266,0.119195655,1.3599064,0.7990301,1.1037648,1.2648314,0.9186911,-1.8261738,3.4045544,0.0,-2.0,0.0,-2.0,0.0,-1.0,0.0,-1.0,37.3831,14.200948,140.40625,84.10768
56396,6689,596,0.4377738,246.86852,43.93466,23.334824,21.868626,20.120588,19.301176,18.812979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.7073302,1.9301944,1.2599639,1.8809721,-3.7015243,1.7736269,-0.4927229,1.3149203,-0.63317686,1.7052536,1.1296014,4.2062287,2.8042624,2.8208067,6.421707,3.09253,-3.9381046,3.8957806,179.79922,47.43229,275.38947,99.04657
56396,6689,597,0.52820206,288.64014,41.208927,21.440615,21.090307,19.447344,18.460411,18.017675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0304737,15.453039,1.1069359,14.3808155,-3.2113028,1.7541356,2.2573028,3.0730014,-13.336543,10.493391,9.226839,10.86199,31.654114,15.051456,54.18895,47.89144,-86.19276,56.549416,628.9746,180.4101,307.24203,78.880486
56396,6689,598,0.46601373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28063288,0.49077755,0.27798474,0.37829483,0.45488852,0.54574543,0.6383146,0.70431346,-0.17348954,0.44882244,3.1579351,2.0582669,-0.0011165204,0.7593062,3.370381,3.0749006,-0.9646276,2.0895085,25.09468,12.852022,51.51796,24.678913
56396,6689,599,0.5482668,196.48409,50.87061,22.389479,21.576326,20.573872,19.701649,19.467066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3874379,1.408912,3.2526147,1.3159474,3.8248482,1.5540401,6.4488926,1.6860425,-1.207028,2.1742663,17.762775,8.796641,1.3205492,9.619599,0.0,-2.0,0.0,-2.0,104.47943,20.197453,119.11406,35.30396
56396,6689,601,0.62952995,229.02438,45.621277,24.485764,22.263178,20.809189,19.794691,19.410995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.700513,6.7988915,-11.645185,6.824436,2.790866,4.562577,-3.5738783,2.066586,-7.517784,22.600157,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,339.71695,66.5945,997.05597,402.32513
56396,6689,603,0.56349725,220.53938,38.794292,22.674679,22.534163,20.47683,19.483656,19.044876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.151602,11.720419,-13.405619,12.826251,0.31993943,3.0822802,-2.976825,2.9516366,7.4772587,8.745326,6.343223,10.937028,5.1873126,32.21966,0.0,-2.0,0.0,-2.0,506.7556,176.84769,117.56581,41.515636
56396,6689,604,0.41872478,252.43216,30.43481,23.215117,20.76467,18.961075,18.266764,17.82907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8749621,0.7650753,1.7133125,0.8276403,-2.0883713,1.0948379,0.5445112,0.91453636,3.6037695,2.4505217,-6.290288,6.8845987,0.38606277,2.3680432,0.29415098,1.6166651,0.2110076,3.680075,63.966293,12.702777,76.23346,21.63217
56396,6689,605,0.5664669,119.7209,49.318394,24.398428,22.47158,20.836262,19.725306,19.26428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2471236,0.47159597,2.9547832,9.927953,0.23491606,1.5768595,1.746214,3.4507651,9.73528,15.687913,-15.473237,13.332051,-0.31478533,6.161791,0.0,-2.0,0.0,-2.0,15.752934,13.938482,141.38928,60.36048
56396,6689,607,0.643574,169.78929,42.35903,26.33662,22.96369,20.811178,19.63574,19.29195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.720977,5.5695324,-1.4851747,5.104506,3.3276894,1.9961462,-2.0069535,1.8543572,-447.10892,415.90372,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,320.4829,97.990135,203.5488,47.406914
56396,6689,611,0.5654163,223.00162,29.4934,24.620327,22.157606,20.3854,19.395185,18.96744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.71897,93.05501,-68.16829,89.24974,-4.2467012,2.7005415,-0.49647853,3.7429087,29.783627,27.689007,0.99549925,17.045149,-70.29177,64.51658,0.0,-2.0,0.0,-2.0,974.92957,304.7606,217.09271,42.37607
56396,6689,613,0.713641,260.48593,35.70797,24.549881,21.883986,20.438183,19.392403,18.77351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5874405,7.257083,-4.724543,6.8421416,-0.22231543,2.2554834,4.6377153,2.5721269,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,449.3112,133.91156,395.0151,100.35799
56396,6689,614,0.4157506,179.57533,23.413868,25.595886,21.023596,19.26075,18.621931,18.178785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.125784,6.057793,-4.12659,5.734395,-0.8733819,1.7101552,-0.46027836,2.1037204,8.89886,5.548132,5.0053873,2.9605434,-8.522303,8.267489,-9.078562,6.069551,-2.1818166,5.6682153,404.4357,97.372986,205.22343,43.56795
56396,6689,616,0.42678767,348.82983,31.968048,22.854212,21.428562,20.263607,19.843596,19.507011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.741272,2.105418,13.396098,2.1549482,9.443966,1.3969148,12.535465,1.4140925,3.5445926,2.5399332,96.09432,4.614906,70.359184,3.855372,13.141259,2.4949946,12.977817,2.7684784,186.62135,10.375928,164.96771,9.073909
56396,6689,617,0.68376374,328.86905,57.39968,23.512766,24.485384,21.469719,20.1923,19.40845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18047689,1.0281966,1.3034053,1.1332713,2.381579,1.6781756,-0.83628386,3.0877752,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,80.719505,29.016384,125.30163,44.989346
56396,6689,619,0.5953166,303.00604,56.99764,25.995255,21.472202,20.070894,19.030672,18.53342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5527275,6.018732,8.24341,6.3635955,7.5972776,2.8715513,3.5829377,2.4511664,6.844098,8.723115,0.0,-2.0,0.0,-2.0,0.0,-1.0,0.0,-1.0,292.633,75.71653,356.6052,121.94372
56396,6689,620,0.41646543,323.945,30.051254,22.758972,20.75022,18.911486,18.141926,17.744465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7280307,5.0096564,-0.35425615,4.965873,-3.7557247,3.237419,-4.044281,2.2894,-1.4391938,6.1597476,5.1405425,8.5754795,3.3443437,10.132219,-9.205528,7.120831,2.852909,6.5196834,363.70578,62.235016,507.4307,178.90529
56396,6689,621,0.45335996,243.65099,97.69,25.07435,21.759136,20.237465,19.423145,18.918993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.525197,5.1817803,-4.1665683,5.5486827,-5.334562,1.2551576,-0.14959398,2.228639,-1.6913918,3.2224648,-6.005832,2.578487,2.7248447,4.123884,3.4643402,4.411623,3.1602101,5.405243,402.49448,162.04428,183.34348,37.109776
56396,6689,623,0.4625076,220.39828,48.0024,23.162212,21.18015,19.554342,18.793142,18.22167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.21382,2.4749558,-2.790241,2.8238313,-3.005876,2.0595312,3.9033506,1.5873864,-2.2074533,1.9681028,2.244191,4.8993773,0.15652944,2.544156,4.9487376,3.1285756,-0.015187188,3.6016173,200.06114,37.31524,485.74847,206.16118
56396,6689,625,0.5381509,189.88855,35.808434,26.169893,22.628931,20.932707,19.926203,19.54253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1619535,0.55125266,-1.8000951,0.5923845,0.43946344,0.74510115,1.480763,0.63393945,0.67065006,1.4231608,-3.3228605,2.6268525,0.8119476,4.618623,10.312426,7.900979,0.0,-2.0,35.808643,11.317432,37.788906,12.410812
56396,6689,627,0.571157,236.45865,55.59545,22.641056,22.673101,20.759256,19.692204,19.361912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5522743,1.9302319,-1.0675277,1.9579778,6.8463087,3.1910968,1.147675,1.689518,-3.8110595,3.850037,-35.69097,30.844091,1.9995505,22.180267,0.0,-2.0,0.0,-1.0,151.26956,36.51471,414.1553,189.34792
